dataset,epsilon,score,synthetic_dir,tool,batch_size,dataset_size,epochs,generate_time,num_of_runs,test_start_time,timestamp
medical-survey,0.25,70.92699578454068,smartnoise_dpctgan_0.25_2021-05-08T21:23:06,smartnoise_dpctgan,500.0,8500.0,500.0,4.233714580535889,0.0,1620503348.7852345,2021-05-08T21:23:06
medical-survey,0.5,77.24537650376071,smartnoise_dpctgan_0.5_2021-05-08T19:49:32,smartnoise_dpctgan,500.0,1000.0,300.0,1.2766849994659424,0.0,1620503348.7852345,2021-05-08T19:49:32
medical-survey,0.5,83.27866580291078,smartnoise_dpctgan_0.5_2021-05-08T19:56:33,smartnoise_dpctgan,300.0,2000.0,100.0,1.952955961227417,0.0,1620503348.7852345,2021-05-08T19:56:33
medical-survey,0.5,83.96092105116121,smartnoise_dpctgan_0.5_2021-05-08T20:05:12,smartnoise_dpctgan,500.0,3000.0,100.0,2.1464765071868896,0.0,1620503348.7852345,2021-05-08T20:05:12
medical-survey,0.5,69.78483589914966,smartnoise_dpctgan_0.5_2021-05-08T20:14:53,smartnoise_dpctgan,500.0,4000.0,300.0,2.736268997192383,0.0,1620503348.7852345,2021-05-08T20:14:53
medical-survey,0.5,63.746055249958246,smartnoise_dpctgan_0.5_2021-05-08T20:25:55,smartnoise_dpctgan,500.0,5000.0,300.0,2.9856913089752197,0.0,1620503348.7852345,2021-05-08T20:25:55
medical-survey,0.5,79.6866243584571,smartnoise_dpctgan_0.5_2021-05-08T20:37:59,smartnoise_dpctgan,300.0,6000.0,500.0,3.760690212249756,0.0,1620503348.7852345,2021-05-08T20:37:59
medical-survey,0.5,71.94547495947543,smartnoise_dpctgan_0.5_2021-05-08T20:51:40,smartnoise_dpctgan,300.0,7000.0,100.0,4.600642919540405,0.0,1620503348.7852345,2021-05-08T20:51:40
medical-survey,0.5,65.1173535037904,smartnoise_dpctgan_0.5_2021-05-08T21:06:57,smartnoise_dpctgan,300.0,8000.0,100.0,4.8209922313690186,0.0,1620503348.7852345,2021-05-08T21:06:57
medical-survey,0.5,68.15010172686954,smartnoise_dpctgan_0.5_2021-05-08T21:23:31,smartnoise_dpctgan,500.0,8500.0,300.0,4.948249578475952,0.0,1620503348.7852345,2021-05-08T21:23:31
medical-survey,0.75,79.36191318981204,smartnoise_dpctgan_0.75_2021-05-08T19:49:37,smartnoise_dpctgan,300.0,1000.0,300.0,1.8212945461273193,0.0,1620503348.7852345,2021-05-08T19:49:37
medical-survey,0.75,87.76237398990784,smartnoise_dpctgan_0.75_2021-05-08T19:56:55,smartnoise_dpctgan,500.0,2000.0,300.0,2.246861219406128,0.0,1620503348.7852345,2021-05-08T19:56:55
medical-survey,0.75,88.53504390093921,smartnoise_dpctgan_0.75_2021-05-08T20:05:22,smartnoise_dpctgan,300.0,3000.0,300.0,2.771939992904663,0.0,1620503348.7852345,2021-05-08T20:05:22
medical-survey,0.75,71.277805578374,smartnoise_dpctgan_0.75_2021-05-08T20:15:16,smartnoise_dpctgan,500.0,4000.0,500.0,3.120938777923584,0.0,1620503348.7852345,2021-05-08T20:15:16
medical-survey,0.75,64.06441662719044,smartnoise_dpctgan_0.75_2021-05-08T20:26:20,smartnoise_dpctgan,500.0,5000.0,500.0,3.38610577583313,0.0,1620503348.7852345,2021-05-08T20:26:20
medical-survey,0.75,72.46123687164581,smartnoise_dpctgan_0.75_2021-05-08T20:38:20,smartnoise_dpctgan,300.0,6000.0,300.0,4.812304973602295,0.0,1620503348.7852345,2021-05-08T20:38:20
medical-survey,0.75,72.96774015301511,smartnoise_dpctgan_0.75_2021-05-08T20:52:30,smartnoise_dpctgan,500.0,7000.0,300.0,5.017921686172485,0.0,1620503348.7852345,2021-05-08T20:52:30
medical-survey,0.75,66.81303406829582,smartnoise_dpctgan_0.75_2021-05-08T21:07:50,smartnoise_dpctgan,500.0,8000.0,300.0,5.394977569580078,0.0,1620503348.7852345,2021-05-08T21:07:50
medical-survey,0.75,69.56845191032855,smartnoise_dpctgan_0.75_2021-05-08T21:23:42,smartnoise_dpctgan,300.0,8500.0,100.0,6.003159284591675,0.0,1620503348.7852345,2021-05-08T21:23:42
medical-survey,1.0,79.9089029043575,smartnoise_dpctgan_1.0_2021-05-08T19:49:49,smartnoise_dpctgan,300.0,1000.0,300.0,2.609157085418701,0.0,1620503348.7852345,2021-05-08T19:49:49
medical-survey,1.0,79.76877784667937,smartnoise_dpctgan_1.0_2021-05-08T19:57:00,smartnoise_dpctgan,300.0,2000.0,100.0,3.457549571990967,0.0,1620503348.7852345,2021-05-08T19:57:00
medical-survey,1.0,77.70871822755242,smartnoise_dpctgan_1.0_2021-05-08T20:05:41,smartnoise_dpctgan,300.0,3000.0,300.0,3.8882946968078613,0.0,1620503348.7852345,2021-05-08T20:05:41
medical-survey,1.0,79.25915493129608,smartnoise_dpctgan_1.0_2021-05-08T20:15:34,smartnoise_dpctgan,500.0,4000.0,100.0,3.8804452419281006,0.0,1620503348.7852345,2021-05-08T20:15:34
medical-survey,1.0,68.15473654678698,smartnoise_dpctgan_1.0_2021-05-08T20:26:43,smartnoise_dpctgan,500.0,5000.0,300.0,4.177436113357544,0.0,1620503348.7852345,2021-05-08T20:26:43
medical-survey,1.0,79.48127150815803,smartnoise_dpctgan_1.0_2021-05-08T20:38:50,smartnoise_dpctgan,300.0,6000.0,300.0,6.119672536849976,0.0,1620503348.7852345,2021-05-08T20:38:50
medical-survey,1.0,67.72975549049158,smartnoise_dpctgan_1.0_2021-05-08T20:52:49,smartnoise_dpctgan,300.0,7000.0,300.0,6.925697088241577,0.0,1620503348.7852345,2021-05-08T20:52:49
medical-survey,1.0,68.95035624078488,smartnoise_dpctgan_1.0_2021-05-08T21:08:03,smartnoise_dpctgan,300.0,8000.0,100.0,7.456995010375977,0.0,1620503348.7852345,2021-05-08T21:08:03
medical-survey,1.0,61.892799283900466,smartnoise_dpctgan_1.0_2021-05-08T21:24:24,smartnoise_dpctgan,300.0,8500.0,300.0,7.505486011505127,0.0,1620503348.7852345,2021-05-08T21:24:24
medical-survey,1.25,72.19953404694064,smartnoise_dpctgan_1.25_2021-05-08T19:50:09,smartnoise_dpctgan,300.0,1000.0,500.0,3.6751351356506348,0.0,1620503348.7852345,2021-05-08T19:50:09
medical-survey,1.25,84.53723452562528,smartnoise_dpctgan_1.25_2021-05-08T19:57:21,smartnoise_dpctgan,300.0,2000.0,100.0,4.70868992805481,0.0,1620503348.7852345,2021-05-08T19:57:21
medical-survey,1.25,80.0124783848141,smartnoise_dpctgan_1.25_2021-05-08T20:05:59,smartnoise_dpctgan,300.0,3000.0,100.0,5.238494157791138,0.0,1620503348.7852345,2021-05-08T20:05:59
medical-survey,1.25,83.30651511813248,smartnoise_dpctgan_1.25_2021-05-08T20:15:54,smartnoise_dpctgan,300.0,4000.0,300.0,6.206019878387451,0.0,1620503348.7852345,2021-05-08T20:15:54
medical-survey,1.25,70.52715691530084,smartnoise_dpctgan_1.25_2021-05-08T20:27:22,smartnoise_dpctgan,500.0,5000.0,500.0,5.040831565856934,0.0,1620503348.7852345,2021-05-08T20:27:22
medical-survey,1.25,71.7271925706825,smartnoise_dpctgan_1.25_2021-05-08T20:39:28,smartnoise_dpctgan,300.0,6000.0,300.0,7.884923219680786,0.0,1620503348.7852345,2021-05-08T20:39:28
medical-survey,1.25,58.12523141122851,smartnoise_dpctgan_1.25_2021-05-08T20:53:41,smartnoise_dpctgan,300.0,7000.0,500.0,8.920824766159058,0.0,1620503348.7852345,2021-05-08T20:53:41
medical-survey,1.25,63.65770238173978,smartnoise_dpctgan_1.25_2021-05-08T21:09:05,smartnoise_dpctgan,300.0,8000.0,500.0,9.171121835708618,0.0,1620503348.7852345,2021-05-08T21:09:05
medical-survey,1.25,61.96920448446511,smartnoise_dpctgan_1.25_2021-05-08T21:25:27,smartnoise_dpctgan,500.0,8500.0,100.0,7.4136741161346436,0.0,1620503348.7852345,2021-05-08T21:25:27
medical-survey,1.5,71.73350462116755,smartnoise_dpctgan_1.5_2021-05-08T19:50:22,smartnoise_dpctgan,300.0,1000.0,100.0,4.982592582702637,0.0,1620503348.7852345,2021-05-08T19:50:22
medical-survey,1.5,82.17791713409848,smartnoise_dpctgan_1.5_2021-05-08T19:57:53,smartnoise_dpctgan,300.0,2000.0,300.0,6.301980972290039,0.0,1620503348.7852345,2021-05-08T19:57:53
medical-survey,1.5,81.14241108695883,smartnoise_dpctgan_1.5_2021-05-08T20:06:51,smartnoise_dpctgan,500.0,3000.0,300.0,4.955442428588867,0.0,1620503348.7852345,2021-05-08T20:06:51
medical-survey,1.5,80.63913008374972,smartnoise_dpctgan_1.5_2021-05-08T20:16:30,smartnoise_dpctgan,300.0,4000.0,300.0,8.050825595855713,0.0,1620503348.7852345,2021-05-08T20:16:30
medical-survey,1.5,67.51074378143144,smartnoise_dpctgan_1.5_2021-05-08T20:28:08,smartnoise_dpctgan,500.0,5000.0,500.0,6.404890060424805,0.0,1620503348.7852345,2021-05-08T20:28:08
medical-survey,1.5,67.9558949950789,smartnoise_dpctgan_1.5_2021-05-08T20:40:24,smartnoise_dpctgan,300.0,6000.0,500.0,10.16903305053711,0.0,1620503348.7852345,2021-05-08T20:40:24
medical-survey,1.5,59.7714090896167,smartnoise_dpctgan_1.5_2021-05-08T20:54:35,smartnoise_dpctgan,300.0,7000.0,500.0,10.927299976348877,0.0,1620503348.7852345,2021-05-08T20:54:35
medical-survey,1.5,59.576497513307885,smartnoise_dpctgan_1.5_2021-05-08T21:09:52,smartnoise_dpctgan,300.0,8000.0,300.0,12.172894477844238,0.0,1620503348.7852345,2021-05-08T21:09:52
medical-survey,1.5,59.754341507920095,smartnoise_dpctgan_1.5_2021-05-08T21:26:17,smartnoise_dpctgan,300.0,8500.0,500.0,11.822724103927612,0.0,1620503348.7852345,2021-05-08T21:26:17
medical-survey,1.75,68.79710213228192,smartnoise_dpctgan_1.75_2021-05-08T19:51:09,smartnoise_dpctgan,500.0,1000.0,300.0,4.203708171844482,0.0,1620503348.7852345,2021-05-08T19:51:09
medical-survey,1.75,73.27331566611085,smartnoise_dpctgan_1.75_2021-05-08T19:58:21,smartnoise_dpctgan,300.0,2000.0,100.0,7.943490266799927,0.0,1620503348.7852345,2021-05-08T19:58:21
medical-survey,1.75,69.92386115090684,smartnoise_dpctgan_1.75_2021-05-08T20:07:05,smartnoise_dpctgan,300.0,3000.0,100.0,8.609819173812866,0.0,1620503348.7852345,2021-05-08T20:07:05
medical-survey,1.75,81.72739010659836,smartnoise_dpctgan_1.75_2021-05-08T20:17:16,smartnoise_dpctgan,300.0,4000.0,300.0,10.053886413574219,0.0,1620503348.7852345,2021-05-08T20:17:16
medical-survey,1.75,69.92144926681621,smartnoise_dpctgan_1.75_2021-05-08T20:28:42,smartnoise_dpctgan,300.0,5000.0,500.0,11.055282592773438,0.0,1620503348.7852345,2021-05-08T20:28:42
medical-survey,1.75,65.64608498368389,smartnoise_dpctgan_1.75_2021-05-08T20:41:10,smartnoise_dpctgan,300.0,6000.0,300.0,11.98533296585083,0.0,1620503348.7852345,2021-05-08T20:41:10
medical-survey,1.75,59.99420849831198,smartnoise_dpctgan_1.75_2021-05-08T20:55:49,smartnoise_dpctgan,500.0,7000.0,100.0,9.73641562461853,0.0,1620503348.7852345,2021-05-08T20:55:49
medical-survey,1.75,57.475970003286164,smartnoise_dpctgan_1.75_2021-05-08T21:11:15,smartnoise_dpctgan,300.0,8000.0,500.0,14.690873861312866,0.0,1620503348.7852345,2021-05-08T21:11:15
medical-survey,1.75,67.42680882791278,smartnoise_dpctgan_1.75_2021-05-08T21:26:58,smartnoise_dpctgan,300.0,8500.0,100.0,14.302275896072388,0.0,1620503348.7852345,2021-05-08T21:26:58
medical-survey,2.0,64.59260619823564,smartnoise_dpctgan_2.0_2021-05-08T19:51:21,smartnoise_dpctgan,300.0,1000.0,100.0,7.872109889984131,0.0,1620503348.7852345,2021-05-08T19:51:21
medical-survey,2.0,79.34751741249735,smartnoise_dpctgan_2.0_2021-05-08T19:59:02,smartnoise_dpctgan,300.0,2000.0,100.0,9.669919490814209,0.0,1620503348.7852345,2021-05-08T19:59:02
medical-survey,2.0,82.88097996942011,smartnoise_dpctgan_2.0_2021-05-08T20:08:34,smartnoise_dpctgan,500.0,3000.0,500.0,7.0843505859375,0.0,1620503348.7852345,2021-05-08T20:08:34
medical-survey,2.0,75.09106872264763,smartnoise_dpctgan_2.0_2021-05-08T20:18:31,smartnoise_dpctgan,500.0,4000.0,100.0,8.516643285751343,0.0,1620503348.7852345,2021-05-08T20:18:31
medical-survey,2.0,68.39617100474366,smartnoise_dpctgan_2.0_2021-05-08T20:30:03,smartnoise_dpctgan,500.0,5000.0,300.0,8.926884889602661,0.0,1620503348.7852345,2021-05-08T20:30:03
medical-survey,2.0,61.667733422994964,smartnoise_dpctgan_2.0_2021-05-08T20:42:33,smartnoise_dpctgan,300.0,6000.0,500.0,14.807564973831177,0.0,1620503348.7852345,2021-05-08T20:42:33
medical-survey,2.0,63.18140509860233,smartnoise_dpctgan_2.0_2021-05-08T20:56:42,smartnoise_dpctgan,300.0,7000.0,300.0,16.54385733604431,0.0,1620503348.7852345,2021-05-08T20:56:42
medical-survey,2.0,54.711386951608155,smartnoise_dpctgan_2.0_2021-05-08T21:12:39,smartnoise_dpctgan,300.0,8000.0,500.0,17.22276282310486,0.0,1620503348.7852345,2021-05-08T21:12:39
medical-survey,2.0,60.839542756625065,smartnoise_dpctgan_2.0_2021-05-08T21:29:05,smartnoise_dpctgan,500.0,8500.0,100.0,12.300310611724854,0.0,1620503348.7852345,2021-05-08T21:29:05
medical-survey,2.25,64.59203942933725,smartnoise_dpctgan_2.25_2021-05-08T19:52:35,smartnoise_dpctgan,500.0,1000.0,300.0,6.528118133544922,0.0,1620503348.7852345,2021-05-08T19:52:35
medical-survey,2.25,81.62974787499053,smartnoise_dpctgan_2.25_2021-05-08T20:00:39,smartnoise_dpctgan,500.0,2000.0,500.0,7.828356504440308,0.0,1620503348.7852345,2021-05-08T20:00:39
medical-survey,2.25,79.40168733826793,smartnoise_dpctgan_2.25_2021-05-08T20:09:13,smartnoise_dpctgan,300.0,3000.0,500.0,13.05825424194336,0.0,1620503348.7852345,2021-05-08T20:09:13
medical-survey,2.25,78.50169285061168,smartnoise_dpctgan_2.25_2021-05-08T20:19:18,smartnoise_dpctgan,300.0,4000.0,300.0,14.6879141330719,0.0,1620503348.7852345,2021-05-08T20:19:18
medical-survey,2.25,64.64900606153307,smartnoise_dpctgan_2.25_2021-05-08T20:30:44,smartnoise_dpctgan,300.0,5000.0,300.0,16.13845920562744,0.0,1620503348.7852345,2021-05-08T20:30:44
medical-survey,2.25,63.89201844053271,smartnoise_dpctgan_2.25_2021-05-08T20:44:12,smartnoise_dpctgan,500.0,6000.0,100.0,12.427902698516846,0.0,1620503348.7852345,2021-05-08T20:44:12
medical-survey,2.25,60.35685535457549,smartnoise_dpctgan_2.25_2021-05-08T20:58:32,smartnoise_dpctgan,300.0,7000.0,500.0,19.471555948257446,0.0,1620503348.7852345,2021-05-08T20:58:32
medical-survey,2.25,57.106629491215216,smartnoise_dpctgan_2.25_2021-05-08T21:13:59,smartnoise_dpctgan,300.0,8000.0,300.0,21.614036560058594,0.0,1620503348.7852345,2021-05-08T21:13:59
medical-survey,2.25,56.96494629725364,smartnoise_dpctgan_2.25_2021-05-08T21:30:32,smartnoise_dpctgan,300.0,8500.0,500.0,20.795202255249023,0.0,1620503348.7852345,2021-05-08T21:30:32
medical-survey,2.5,68.176436691838,smartnoise_dpctgan_2.5_2021-05-08T19:52:54,smartnoise_dpctgan,300.0,1000.0,100.0,11.814526081085205,0.0,1620503348.7852345,2021-05-08T19:52:54
medical-survey,2.5,70.97661893709429,smartnoise_dpctgan_2.5_2021-05-08T20:01:39,smartnoise_dpctgan,500.0,2000.0,300.0,9.052699089050293,0.0,1620503348.7852345,2021-05-08T20:01:39
medical-survey,2.5,67.68343305885497,smartnoise_dpctgan_2.5_2021-05-08T20:10:26,smartnoise_dpctgan,300.0,3000.0,500.0,15.297427654266357,0.0,1620503348.7852345,2021-05-08T20:10:26
medical-survey,2.5,80.58270055636108,smartnoise_dpctgan_2.5_2021-05-08T20:20:38,smartnoise_dpctgan,300.0,4000.0,300.0,17.553407192230225,0.0,1620503348.7852345,2021-05-08T20:20:38
medical-survey,2.5,71.63719443285049,smartnoise_dpctgan_2.5_2021-05-08T20:32:29,smartnoise_dpctgan,300.0,5000.0,500.0,18.747924089431763,0.0,1620503348.7852345,2021-05-08T20:32:29
medical-survey,2.5,66.67601098328589,smartnoise_dpctgan_2.5_2021-05-08T20:45:55,smartnoise_dpctgan,500.0,6000.0,100.0,13.67026686668396,0.0,1620503348.7852345,2021-05-08T20:45:55
medical-survey,2.5,62.646999428420884,smartnoise_dpctgan_2.5_2021-05-08T21:00:21,smartnoise_dpctgan,300.0,7000.0,500.0,22.80140447616577,0.0,1620503348.7852345,2021-05-08T21:00:21
medical-survey,2.5,55.236449873957675,smartnoise_dpctgan_2.5_2021-05-08T21:16:16,smartnoise_dpctgan,300.0,8000.0,500.0,24.931243419647217,0.0,1620503348.7852345,2021-05-08T21:16:16
medical-survey,2.5,61.570959210451996,smartnoise_dpctgan_2.5_2021-05-08T21:31:39,smartnoise_dpctgan,300.0,8500.0,100.0,24.55077338218689,0.0,1620503348.7852345,2021-05-08T21:31:39
medical-survey,2.75,75.75158948110472,smartnoise_dpctgan_2.75_2021-05-08T19:54:08,smartnoise_dpctgan,300.0,1000.0,300.0,14.544156551361084,0.0,1620503348.7852345,2021-05-08T19:54:08
medical-survey,2.75,86.19362454151201,smartnoise_dpctgan_2.75_2021-05-08T20:03:08,smartnoise_dpctgan,500.0,2000.0,500.0,10.503651142120361,0.0,1620503348.7852345,2021-05-08T20:03:08
medical-survey,2.75,90.08436581000491,smartnoise_dpctgan_2.75_2021-05-08T20:12:28,smartnoise_dpctgan,500.0,3000.0,500.0,11.71933364868164,0.0,1620503348.7852345,2021-05-08T20:12:28
medical-survey,2.75,74.43748618033835,smartnoise_dpctgan_2.75_2021-05-08T20:22:11,smartnoise_dpctgan,300.0,4000.0,300.0,21.090221881866455,0.0,1620503348.7852345,2021-05-08T20:22:11
medical-survey,2.75,60.39142947874894,smartnoise_dpctgan_2.75_2021-05-08T20:34:15,smartnoise_dpctgan,300.0,5000.0,500.0,22.504469633102417,0.0,1620503348.7852345,2021-05-08T20:34:15
medical-survey,2.75,66.82311579673664,smartnoise_dpctgan_2.75_2021-05-08T20:47:37,smartnoise_dpctgan,300.0,6000.0,500.0,24.996026515960693,0.0,1620503348.7852345,2021-05-08T20:47:37
medical-survey,2.75,64.98128741050085,smartnoise_dpctgan_2.75_2021-05-08T21:03:05,smartnoise_dpctgan,500.0,7000.0,300.0,17.757974863052368,0.0,1620503348.7852345,2021-05-08T21:03:05
medical-survey,2.75,53.51107576376879,smartnoise_dpctgan_2.75_2021-05-08T21:18:32,smartnoise_dpctgan,300.0,8000.0,500.0,28.861938953399658,0.0,1620503348.7852345,2021-05-08T21:18:32
medical-survey,2.75,56.70961254166393,smartnoise_dpctgan_2.75_2021-05-08T21:34:46,smartnoise_dpctgan,300.0,8500.0,500.0,28.673489570617676,0.0,1620503348.7852345,2021-05-08T21:34:46
medical-survey,3.0,68.94545711222553,smartnoise_dpctgan_3.0_2021-05-08T19:55:40,smartnoise_dpctgan,300.0,1000.0,500.0,16.61362624168396,0.0,1620503348.7852345,2021-05-08T19:55:40
medical-survey,3.0,67.92321170690711,smartnoise_dpctgan_3.0_2021-05-08T20:04:30,smartnoise_dpctgan,500.0,2000.0,300.0,11.710497379302979,0.0,1620503348.7852345,2021-05-08T20:04:30
medical-survey,3.0,86.3694521472234,smartnoise_dpctgan_3.0_2021-05-08T20:12:48,smartnoise_dpctgan,300.0,3000.0,100.0,20.614434957504272,0.0,1620503348.7852345,2021-05-08T20:12:48
medical-survey,3.0,75.93752970071453,smartnoise_dpctgan_3.0_2021-05-08T20:24:23,smartnoise_dpctgan,300.0,4000.0,500.0,23.159886360168457,0.0,1620503348.7852345,2021-05-08T20:24:23
medical-survey,3.0,63.41140940263061,smartnoise_dpctgan_3.0_2021-05-08T20:35:51,smartnoise_dpctgan,300.0,5000.0,300.0,26.003303289413452,0.0,1620503348.7852345,2021-05-08T20:35:51
medical-survey,3.0,71.1451355489393,smartnoise_dpctgan_3.0_2021-05-08T20:48:54,smartnoise_dpctgan,300.0,6000.0,100.0,28.15156316757202,0.0,1620503348.7852345,2021-05-08T20:48:54
medical-survey,3.0,63.892120904070545,smartnoise_dpctgan_3.0_2021-05-08T21:04:58,smartnoise_dpctgan,300.0,7000.0,500.0,31.48475480079651,0.0,1620503348.7852345,2021-05-08T21:04:58
medical-survey,3.0,49.133585178479066,smartnoise_dpctgan_3.0_2021-05-08T21:20:36,smartnoise_dpctgan,300.0,8000.0,300.0,32.65157723426819,0.0,1620503348.7852345,2021-05-08T21:20:36
medical-survey,3.0,64.46981230047967,smartnoise_dpctgan_3.0_2021-05-08T21:38:06,smartnoise_dpctgan,500.0,8500.0,300.0,21.87747621536255,0.0,1620503348.7852345,2021-05-08T21:38:06
medical-survey,0.1,73.1439140292842,smartnoise_patectgan_0.1_2021-05-11T22:07:32,smartnoise_patectgan,900.0,1000.0,300.0,1.1374363899230957,0.0,1620770845.2818708,2021-05-11T22:07:32
medical-survey,0.1,86.53525468169954,smartnoise_patectgan_0.1_2021-05-11T22:13:01,smartnoise_patectgan,100.0,2000.0,300.0,1.799809455871582,0.0,1620770845.2818708,2021-05-11T22:13:01
medical-survey,0.1,85.50856702181261,smartnoise_patectgan_0.1_2021-05-11T22:19:40,smartnoise_patectgan,100.0,3000.0,300.0,2.1653382778167725,0.0,1620770845.2818708,2021-05-11T22:19:40
medical-survey,0.1,85.3030876638052,smartnoise_patectgan_0.1_2021-05-11T22:27:05,smartnoise_patectgan,1500.0,4000.0,300.0,2.486980676651001,0.0,1620770845.2818708,2021-05-11T22:27:05
medical-survey,0.1,79.3308350919862,smartnoise_patectgan_0.1_2021-05-11T22:35:22,smartnoise_patectgan,100.0,5000.0,300.0,3.1098949909210205,0.0,1620770845.2818708,2021-05-11T22:35:22
medical-survey,0.1,63.9221865137414,smartnoise_patectgan_0.1_2021-05-11T22:44:45,smartnoise_patectgan,500.0,6000.0,300.0,3.8047075271606445,0.0,1620770845.2818708,2021-05-11T22:44:45
medical-survey,0.1,67.31022001842115,smartnoise_patectgan_0.1_2021-05-11T22:55:20,smartnoise_patectgan,100.0,7000.0,300.0,4.842236757278442,0.0,1620770845.2818708,2021-05-11T22:55:20
medical-survey,0.1,66.57057977827417,smartnoise_patectgan_0.1_2021-05-11T23:07:13,smartnoise_patectgan,900.0,8000.0,300.0,4.613837718963623,0.0,1620770845.2818708,2021-05-11T23:07:13
medical-survey,0.1,75.23419344257482,smartnoise_patectgan_0.1_2021-05-11T23:19:56,smartnoise_patectgan,900.0,8500.0,300.0,4.6344218254089355,0.0,1620770845.2818708,2021-05-11T23:19:56
medical-survey,0.25,92.0267618739189,smartnoise_patectgan_0.25_2021-05-11T22:07:36,smartnoise_patectgan,500.0,1000.0,300.0,1.1190190315246582,0.0,1620770845.2818708,2021-05-11T22:07:36
medical-survey,0.25,85.34306131808246,smartnoise_patectgan_0.25_2021-05-11T22:13:10,smartnoise_patectgan,500.0,2000.0,300.0,1.7402446269989014,0.0,1620770845.2818708,2021-05-11T22:13:10
