batch_size,dataset,dataset_size,delta,dp_l2_norm_clip,dp_noise_multiplier,epochs,epsilon,generate_time,learning_rate,num_of_runs,predict_batch_size,rnn_units,score,synthetic_dir,test_start_time,timestamp,tool,validator,query_count
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1391.118371963501,0.005,4.0,1.0,32.0,0.9659491035473354,gretel_29_2021-05-27T20:28:59,1622045621.039952,2021-05-27T20:28:59,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1236.660357952118,0.005,5.0,1.0,32.0,0.9147076350576114,gretel_29_2021-05-27T21:07:32,1622045621.039952,2021-05-27T21:07:32,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1400.731575012207,0.005,6.0,1.0,32.0,0.9671453292610886,gretel_29_2021-05-27T21:49:32,1622045621.039952,2021-05-27T21:49:32,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1384.4024386405945,0.005,7.0,1.0,32.0,0.9424320895025567,gretel_29_2021-05-27T22:30:10,1622045621.039952,2021-05-27T22:30:10,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1195.4438807964325,0.005,8.0,1.0,32.0,0.9679464994294795,gretel_29_2021-05-27T23:08:59,1622045621.039952,2021-05-27T23:08:59,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1313.0847618579865,0.005,9.0,1.0,32.0,0.9488695004376684,gretel_29_2021-05-27T23:48:50,1622045621.039952,2021-05-27T23:48:50,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1260.025238752365,0.005,0.0,1.0,32.0,0.9744021800606473,gretel_29_2021-05-28T00:27:50,1622045621.039952,2021-05-28T00:27:50,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1318.7887275218964,0.005,1.0,1.0,32.0,0.9670781994525375,gretel_29_2021-05-28T01:08:33,1622045621.039952,2021-05-28T01:08:33,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1075.5997788906097,0.005,2.0,1.0,32.0,0.9477491386562403,gretel_29_2021-05-28T02:31:28,1622045621.039952,2021-05-28T02:31:28,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1174.3913142681122,0.005,3.0,1.0,32.0,0.9649513204305521,gretel_29_2021-05-28T03:10:04,1622045621.039952,2021-05-28T03:10:04,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1161.8201007843018,0.005,4.0,1.0,32.0,0.9503614241571533,gretel_29_2021-05-28T03:48:36,1622045621.039952,2021-05-28T03:48:36,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1116.309725522995,0.005,5.0,1.0,32.0,0.9635424279639558,gretel_29_2021-05-28T04:25:39,1622045621.039952,2021-05-28T04:25:39,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1341.4131498336792,0.005,6.0,1.0,32.0,0.9677043043001898,gretel_29_2021-05-28T05:06:28,1622045621.039952,2021-05-28T05:06:28,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1159.460215330124,0.005,7.0,1.0,32.0,0.9663133856135074,gretel_29_2021-05-28T05:44:40,1622045621.039952,2021-05-28T05:44:40,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1480.9694702625275,0.005,8.0,1.0,32.0,0.9648219880567299,gretel_29_2021-05-28T06:29:08,1622045621.039952,2021-05-28T06:29:08,gretel,,
4.0,medical-survey,8500.0,0.0,0.1,0.3,100.0,29.0,1192.0699937343597,0.005,9.0,1.0,32.0,0.9701351617585944,gretel_29_2021-05-28T07:08:17,1622045621.039952,2021-05-28T07:08:17,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,1120.9146971702576,0.005,0.0,1.0,32.0,0.966814110233917,gretel_30_2021-05-27T06:35:28,1622045621.039952,2021-05-27T06:35:28,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,1305.786152124405,0.005,1.0,1.0,32.0,0.9524418458003313,gretel_30_2021-05-27T07:12:01,1622045621.039952,2021-05-27T07:12:01,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,980.8654627799988,0.005,2.0,1.0,32.0,0.948391875169678,gretel_30_2021-05-27T07:42:21,1622045621.039952,2021-05-27T07:42:21,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,902.279449224472,0.005,3.0,1.0,32.0,0.9737740774914286,gretel_30_2021-05-27T08:11:13,1622045621.039952,2021-05-27T08:11:13,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,1247.5179612636566,0.005,4.0,1.0,32.0,0.9217043556152048,gretel_30_2021-05-27T08:46:03,1622045621.039952,2021-05-27T08:46:03,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,1221.9698944091797,0.005,5.0,1.0,32.0,0.9607415699735853,gretel_30_2021-05-27T09:20:12,1622045621.039952,2021-05-27T09:20:12,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,935.0724592208862,0.005,6.0,1.0,32.0,0.9188744504077796,gretel_30_2021-05-27T09:49:34,1622045621.039952,2021-05-27T09:49:34,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,1450.8504502773285,0.005,7.0,1.0,32.0,0.9184139582393686,gretel_30_2021-05-27T10:29:47,1622045621.039952,2021-05-27T10:29:47,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,1425.134189605713,0.005,8.0,1.0,32.0,0.9551396794715972,gretel_30_2021-05-27T11:07:59,1622045621.039952,2021-05-27T11:07:59,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.3,100.0,30.0,1323.7102015018463,0.005,9.0,1.0,32.0,0.9493057825439418,gretel_30_2021-05-27T11:45:54,1622045621.039952,2021-05-27T11:45:54,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,912.4937691688538,0.005,0.0,1.0,32.0,0.9768338242402662,gretel_30_2021-05-27T12:15:39,1622045621.039952,2021-05-27T12:15:39,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,1071.6300776004791,0.005,1.0,1.0,32.0,0.9357638368776615,gretel_30_2021-05-27T12:50:43,1622045621.039952,2021-05-27T12:50:43,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,991.0591526031494,0.005,2.0,1.0,32.0,0.9476839587425651,gretel_30_2021-05-27T13:23:09,1622045621.039952,2021-05-27T13:23:09,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,1642.3768222332,0.005,3.0,1.0,32.0,0.9641510283969628,gretel_30_2021-05-27T14:06:16,1622045621.039952,2021-05-27T14:06:16,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,915.6871500015259,0.005,4.0,1.0,32.0,0.9510425226299191,gretel_30_2021-05-27T14:37:23,1622045621.039952,2021-05-27T14:37:23,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,1098.2650384902954,0.005,5.0,1.0,32.0,0.9392424623985339,gretel_30_2021-05-27T15:11:30,1622045621.039952,2021-05-27T15:11:30,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,1080.8276824951172,0.005,6.0,1.0,32.0,0.9485624540810923,gretel_30_2021-05-27T15:45:29,1622045621.039952,2021-05-27T15:45:29,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,1079.4484860897064,0.005,7.0,1.0,32.0,0.9521535226455463,gretel_30_2021-05-27T16:19:27,1622045621.039952,2021-05-27T16:19:27,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,985.5395250320435,0.005,8.0,1.0,32.0,0.952024973833844,gretel_30_2021-05-27T16:52:33,1622045621.039952,2021-05-27T16:52:33,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.3,100.0,30.0,976.7872908115387,0.005,9.0,1.0,32.0,0.9489919843018192,gretel_30_2021-05-27T17:24:26,1622045621.039952,2021-05-27T17:24:26,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,1355.0475447177887,0.005,1.0,1.0,32.0,0.933853314606675,gretel_31_2021-05-27T00:45:31,1622045621.039952,2021-05-27T00:45:31,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,2425.7641587257385,0.005,2.0,1.0,32.0,0.9356756542798953,gretel_31_2021-05-27T01:38:01,1622045621.039952,2021-05-27T01:38:01,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,1694.3064405918121,0.005,3.0,1.0,32.0,0.9225658313786611,gretel_31_2021-05-27T02:18:33,1622045621.039952,2021-05-27T02:18:33,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,1030.2429819107056,0.005,4.0,1.0,32.0,0.9528036949963757,gretel_31_2021-05-27T02:47:31,1622045621.039952,2021-05-27T02:47:31,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,1383.1761546134949,0.005,5.0,1.0,32.0,0.9311568821088648,gretel_31_2021-05-27T03:23:50,1622045621.039952,2021-05-27T03:23:50,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,2315.4295847415924,0.005,6.0,1.0,32.0,0.8726530129658969,gretel_31_2021-05-27T04:14:13,1622045621.039952,2021-05-27T04:14:13,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,1755.5079610347748,0.005,7.0,1.0,32.0,0.9011748467218627,gretel_31_2021-05-27T04:55:21,1622045621.039952,2021-05-27T04:55:21,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,1026.1271369457245,0.005,8.0,1.0,32.0,0.9258193907416042,gretel_31_2021-05-27T05:24:35,1622045621.039952,2021-05-27T05:24:35,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.3,100.0,31.0,1635.6056785583496,0.005,9.0,1.0,32.0,0.9290038203045395,gretel_31_2021-05-27T06:03:51,1622045621.039952,2021-05-27T06:03:51,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,355.7072353363037,0.005,0.0,1.0,32.0,0.976168856448545,gretel_3259783_2021-05-26T18:48:35,1622045621.039952,2021-05-26T18:48:35,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,355.89386343955994,0.005,1.0,1.0,32.0,0.9666080781328251,gretel_3259783_2021-05-26T18:58:03,1622045621.039952,2021-05-26T18:58:03,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,404.442587852478,0.005,2.0,1.0,32.0,0.9717558881352107,gretel_3259783_2021-05-26T19:08:27,1622045621.039952,2021-05-26T19:08:27,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,347.18394899368286,0.005,3.0,1.0,32.0,0.9695952927714933,gretel_3259783_2021-05-26T19:17:58,1622045621.039952,2021-05-26T19:17:58,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,381.58493542671204,0.005,4.0,1.0,32.0,0.9732868505522186,gretel_3259783_2021-05-26T19:27:51,1622045621.039952,2021-05-26T19:27:51,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,374.52175426483154,0.005,5.0,1.0,32.0,0.9714232227291503,gretel_3259783_2021-05-26T19:37:42,1622045621.039952,2021-05-26T19:37:42,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,380.0648686885834,0.005,6.0,1.0,32.0,0.9691152727330817,gretel_3259783_2021-05-26T19:47:45,1622045621.039952,2021-05-26T19:47:45,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,341.79303193092346,0.005,7.0,1.0,32.0,0.9734852347136552,gretel_3259783_2021-05-26T19:57:08,1622045621.039952,2021-05-26T19:57:08,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,381.455810546875,0.005,8.0,1.0,32.0,0.9704825332384405,gretel_3259783_2021-05-26T20:07:10,1622045621.039952,2021-05-26T20:07:10,gretel,,
4.0,medical-survey,3000.0,0.0,0.1,0.1,100.0,3259783.0,360.711950302124,0.005,9.0,1.0,32.0,0.968093350428796,gretel_3259783_2021-05-26T20:16:46,1622045621.039952,2021-05-26T20:16:46,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.3,100.0,32.0,1606.1521210670471,0.005,8.0,1.0,32.0,0.9056566364966804,gretel_32_2021-05-26T22:49:32,1622045621.039952,2021-05-26T22:49:32,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,441.8255617618561,0.005,0.0,1.0,32.0,0.9798804585126342,gretel_3970519_2021-05-26T20:27:50,1622045621.039952,2021-05-26T20:27:50,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,456.3289439678192,0.005,1.0,1.0,32.0,0.9732619104108706,gretel_3970519_2021-05-26T20:39:15,1622045621.039952,2021-05-26T20:39:15,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,426.0605642795563,0.005,2.0,1.0,32.0,0.9692706132133623,gretel_3970519_2021-05-26T21:18:59,1622045621.039952,2021-05-26T21:18:59,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,441.38227701187134,0.005,3.0,1.0,32.0,0.974100104095235,gretel_3970519_2021-05-26T21:34:12,1622045621.039952,2021-05-26T21:34:12,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,454.7512218952179,0.005,4.0,1.0,32.0,0.97396000942432,gretel_3970519_2021-05-26T21:45:30,1622045621.039952,2021-05-26T21:45:30,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,469.60682010650635,0.005,5.0,1.0,32.0,0.9762003707285536,gretel_3970519_2021-05-26T21:57:17,1622045621.039952,2021-05-26T21:57:17,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,446.47520756721497,0.005,6.0,1.0,32.0,0.9777749352212507,gretel_3970519_2021-05-26T22:08:37,1622045621.039952,2021-05-26T22:08:37,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,455.9487063884735,0.005,7.0,1.0,32.0,0.9753604954768645,gretel_3970519_2021-05-26T22:20:03,1622045621.039952,2021-05-26T22:20:03,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,461.4292526245117,0.005,8.0,1.0,32.0,0.9780837572241977,gretel_3970519_2021-05-26T22:57:13,1622045621.039952,2021-05-26T22:57:13,gretel,,
4.0,medical-survey,4000.0,0.0,0.1,0.1,100.0,3970519.0,437.24404311180115,0.005,9.0,1.0,32.0,0.9848880490510945,gretel_3970519_2021-05-26T23:38:23,1622045621.039952,2021-05-26T23:38:23,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,557.1451981067657,0.005,0.0,1.0,32.0,0.9810177993813483,gretel_4599209_2021-05-27T00:19:52,1622045621.039952,2021-05-27T00:19:52,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,540.9944744110107,0.005,1.0,1.0,32.0,0.9832564406572439,gretel_4599209_2021-05-27T00:54:32,1622045621.039952,2021-05-27T00:54:32,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,547.2732844352722,0.005,2.0,1.0,32.0,0.9783303616337911,gretel_4599209_2021-05-27T01:47:09,1622045621.039952,2021-05-27T01:47:09,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,526.7992475032806,0.005,3.0,1.0,32.0,0.9829225141366966,gretel_4599209_2021-05-27T02:27:20,1622045621.039952,2021-05-27T02:27:20,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,613.4096124172211,0.005,4.0,1.0,32.0,0.9916390076139132,gretel_4599209_2021-05-27T02:57:44,1622045621.039952,2021-05-27T02:57:44,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,531.4176468849182,0.005,5.0,1.0,32.0,0.9835421575972751,gretel_4599209_2021-05-27T03:32:42,1622045621.039952,2021-05-27T03:32:42,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,536.6254296302795,0.005,6.0,1.0,32.0,0.9898181241747027,gretel_4599209_2021-05-27T04:23:10,1622045621.039952,2021-05-27T04:23:10,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,537.7388265132904,0.005,7.0,1.0,32.0,0.9831226317309358,gretel_4599209_2021-05-27T05:04:18,1622045621.039952,2021-05-27T05:04:18,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,543.5387330055237,0.005,8.0,1.0,32.0,0.983112772739633,gretel_4599209_2021-05-27T05:33:39,1622045621.039952,2021-05-27T05:33:39,gretel,,
4.0,medical-survey,5000.0,0.0,0.1,0.1,100.0,4599209.0,576.2286083698273,0.005,9.0,1.0,32.0,0.9881626343826336,gretel_4599209_2021-05-27T06:13:27,1622045621.039952,2021-05-27T06:13:27,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,689.7691459655762,0.005,0.0,1.0,32.0,0.9844910443113554,gretel_5166265_2021-05-27T06:46:58,1622045621.039952,2021-05-27T06:46:58,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,643.3818986415863,0.005,1.0,1.0,32.0,0.9800646939716655,gretel_5166265_2021-05-27T07:22:45,1622045621.039952,2021-05-27T07:22:45,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,634.3503806591034,0.005,2.0,1.0,32.0,0.985901141300161,gretel_5166265_2021-05-27T07:52:55,1622045621.039952,2021-05-27T07:52:55,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,636.9398219585419,0.005,3.0,1.0,32.0,0.976497593423283,gretel_5166265_2021-05-27T08:21:50,1622045621.039952,2021-05-27T08:21:50,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,629.4887993335724,0.005,4.0,1.0,32.0,0.9929209491768164,gretel_5166265_2021-05-27T08:56:33,1622045621.039952,2021-05-27T08:56:33,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,633.1959767341614,0.005,5.0,1.0,32.0,0.9864084327506798,gretel_5166265_2021-05-27T09:30:45,1622045621.039952,2021-05-27T09:30:45,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,769.7693033218384,0.005,6.0,1.0,32.0,0.9935302370931455,gretel_5166265_2021-05-27T10:02:24,1622045621.039952,2021-05-27T10:02:24,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,662.9067378044128,0.005,7.0,1.0,32.0,0.9813677840899876,gretel_5166265_2021-05-27T10:40:50,1622045621.039952,2021-05-27T10:40:50,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,756.7226414680481,0.005,8.0,1.0,32.0,0.9905164382859076,gretel_5166265_2021-05-27T11:20:36,1622045621.039952,2021-05-27T11:20:36,gretel,,
4.0,medical-survey,6000.0,0.0,0.1,0.1,100.0,5166265.0,662.9325218200684,0.005,9.0,1.0,32.0,0.9842749264867122,gretel_5166265_2021-05-27T11:56:57,1622045621.039952,2021-05-27T11:56:57,gretel,,
4.0,medical-survey,9358.0,,0.1,0.3,100.0,55.3092,556.2260146141052,0.001,0.0,1.0,32.0,0.0,gretel_55.3092_2021-05-14T20:22:03,1621018488.0677025,2021-05-14T20:22:03,gretel,gretel,
4.0,medical-survey,9000.0,,0.1,0.3,100.0,56.1027,546.4796254634857,0.001,0.0,1.0,32.0,2.574007974065896e-201,gretel_56.1027_2021-05-14T20:12:47,1621018488.0677025,2021-05-14T20:12:47,gretel,gretel,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,819.3496336936951,0.005,0.0,1.0,32.0,0.9966231267060577,gretel_5681217_2021-05-27T12:29:18,1622045621.039952,2021-05-27T12:29:18,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,748.0467355251312,0.005,1.0,1.0,32.0,0.9933054320760766,gretel_5681217_2021-05-27T13:03:11,1622045621.039952,2021-05-27T13:03:11,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,739.9936397075653,0.005,2.0,1.0,32.0,0.9942668965361688,gretel_5681217_2021-05-27T13:35:29,1622045621.039952,2021-05-27T13:35:29,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,737.4866642951965,0.005,3.0,1.0,32.0,0.9852048174963501,gretel_5681217_2021-05-27T14:18:33,1622045621.039952,2021-05-27T14:18:33,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,738.976259469986,0.005,4.0,1.0,32.0,0.9782134138693763,gretel_5681217_2021-05-27T14:49:42,1622045621.039952,2021-05-27T14:49:42,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,739.5452280044556,0.005,5.0,1.0,32.0,0.9835483474416155,gretel_5681217_2021-05-27T15:23:50,1622045621.039952,2021-05-27T15:23:50,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,745.0811879634857,0.005,6.0,1.0,32.0,0.9891674533438873,gretel_5681217_2021-05-27T15:57:54,1622045621.039952,2021-05-27T15:57:54,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,780.9152820110321,0.005,7.0,1.0,32.0,0.9964100300669437,gretel_5681217_2021-05-27T16:32:28,1622045621.039952,2021-05-27T16:32:28,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,733.1925973892212,0.005,8.0,1.0,32.0,0.9830353402720574,gretel_5681217_2021-05-27T17:04:47,1622045621.039952,2021-05-27T17:04:47,gretel,,
4.0,medical-survey,7000.0,0.0,0.1,0.1,100.0,5681217.0,733.5813581943512,0.005,9.0,1.0,32.0,0.980277915621972,gretel_5681217_2021-05-27T17:36:40,1622045621.039952,2021-05-27T17:36:40,gretel,,
4.0,medical-survey,8500.0,,0.1,0.3,100.0,57.30699,519.1012587547302,0.001,0.0,1.0,32.0,6.185669210893076e-228,gretel_57.306999999999995_2021-05-14T20:03:40,1621018488.0677025,2021-05-14T20:03:40,gretel,gretel,
4.0,medical-survey,8000.0,,0.1,0.3,100.0,58.64,475.9581723213196,0.001,0.0,1.0,32.0,5.485976804759697e-260,gretel_58.6424_2021-05-14T19:55:01,1621018488.0677025,2021-05-14T19:55:01,gretel,gretel,
4.0,medical-survey,7000.0,,0.1,0.3,100.0,61.78,487.2443265914917,0.001,0.0,1.0,32.0,0.0,gretel_61.7838_2021-05-14T19:47:05,1621018488.0677025,2021-05-14T19:47:05,gretel,gretel,
4.0,medical-survey,8000.0,0.0,0.1,0.1,100.0,6155730.0,837.1286277770996,0.005,0.0,1.0,32.0,0.9816774627826127,gretel_6155730_2021-05-27T18:10:46,1622045621.039952,2021-05-27T18:10:46,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.1,100.0,6155730.0,836.6907103061676,0.005,1.0,1.0,32.0,0.9910612339559594,gretel_6155730_2021-05-27T18:46:11,1622045621.039952,2021-05-27T18:46:11,gretel,,
